,Lat,Lon,Cls,species,country_code,state,Alt,Alt_zone,presence
12342,41.96334457397461,-87.63434600830078,Dfa,9602,US,Illinois,183.0,3,1
12343,40.79506301879883,-73.95347595214844,Cfa,9602,US,New York,17.0,1,1
12344,38.88608932495117,-76.80079650878906,Cfa,9602,US,Maryland,33.0,2,1
12345,41.9627685546875,-87.63455200195312,Dfa,9602,US,Illinois,183.0,3,1
12346,40.76511001586914,-74.0289535522461,Cfa,9602,US,New Jersey,60.0,2,1
12347,39.82979965209961,-74.99192810058594,Cfa,9602,US,New Jersey,29.0,2,1
12348,32.51615524291992,-92.12672424316406,Cfa,9602,US,Louisiana,29.0,2,1
12349,40.79132843017578,-73.92418670654297,Cfa,9602,US,New York,15.0,1,1
12350,40.05033493041992,-105.1855697631836,BSk,9602,US,Colorado,1571.0,6,1
12351,32.07438278198242,-81.16478729248047,Cfa,9602,US,Georgia,20.0,1,1
12352,38.026123046875,-84.32152557373047,Cfa,9602,US,Kentucky,312.0,3,1
12353,37.67320251464844,-77.54769897460938,Cfa,9602,US,Virginia,67.0,2,1
12354,38.84008407592773,-77.23867797851562,Cfa,9602,US,Virginia,114.0,3,1
12355,42.45817947387695,-70.93425750732422,Cfa,9602,US,Massachusetts,0.0,1,1
12356,44.04510116577149,-71.6725845336914,Dfb,9602,US,New Hampshire,256.0,3,1
12357,37.685157775878906,-77.4130630493164,Cfa,9602,US,Virginia,60.0,2,1
12358,40.766639709472656,-73.97502136230469,Cfa,9602,US,New York,24.0,1,1
12359,38.71046447753906,-93.99497985839844,Cfa,9602,US,Missouri,263.0,3,1
12360,43.75983810424805,-70.3973617553711,Dfb,9602,US,Maine,55.0,2,1
12361,42.40029144287109,-71.99917602539062,Dfb,9602,US,Massachusetts,244.0,3,1
12362,40.536163330078125,-75.07101440429688,Dfa,9602,US,New Jersey,33.0,2,1
12363,43.07176971435547,-87.99859619140625,Dfb,9602,US,Wisconsin,237.0,3,1
12364,39.97200393676758,-75.19629669189453,Cfa,9602,US,Pennsylvania,22.0,1,1
12365,37.414676666259766,-76.71405029296875,Cfa,9602,US,Virginia,2.0,1,1
12366,43.6931266784668,-73.21890258789062,Dfb,9602,US,Vermont,191.0,3,1
12367,29.806640625,-95.76553344726562,Cfa,9602,US,Texas,45.0,2,1
12368,41.18061828613281,-96.03084564208984,Dfa,9602,US,Nebraska,323.0,3,1
12369,32.3476448059082,-99.70702362060548,Cfa,9602,US,Texas,561.0,4,1
